common_name,scientific_name,country,habitat
,Aa argyrolepis,Bolivia,
,Aa argyrolepis,Colombia,
,Aa argyrolepis,Peru,
,Aa aurantiaca,Peru,
,Aa calceata,Bolivia,
,Aa calceata,Peru,
,Aa colombiana,Colombia,
,Aa erosa,Peru,
,Aa lorentzii,Argentina,
,Aa lozanoi,Colombia,
,Aa mandonii,Bolivia,grasslands
,Aa matthewsii,Bolivia,grasslands
,Aa matthewsii,Peru,grasslands
,Aa rosei,Peru,
,Aa schickendanzii,Argentina,
,Aa sphaeroglossa,Bolivia,
,Aa trilobulata,Bolivia,
abaca,Musa textilis,Philippines,
,Abarema cochliacarpos,Brazil,grasslands; forest; coastal; shrubland
,Abdra brachycarpa,United States,
,Abelia chinensis,China,
,Abelia chinensis,Japan,
,Abelia chinensis,Taiwan,
,Abelia macrotera,China,
,Abelia parvifolia,China,
,Abelia schumannii,China,
,Abelmoschus crinitus,China,
,Abelmoschus crinitus,Philippines,
,Abelmoschus ficulneus,Australia,
,Abelmoschus hostilis,Bangladesh,
,Abelmoschus hostilis,Myanmar,
,Abelmoschus manihot,Australia,
,Abelmoschus manihot,China,
musk okra,Abelmoschus moschatus,Australia,
musk okra,Abelmoschus moschatus,China,
musk okra,Abelmoschus moschatus,Taiwan,
,Abelmoschus rhodopetalus,Australia,
,Abelmoschus rhodopetalus,China,
,Abelmoschus rhodopetalus,Philippines,
Greek Fir,Abies cephalonica,Greece,mountains
White Fir,Abies concolor,Mexico,mountains
White Fir,Abies concolor,United States,mountains
Delavay's Fir,Abies delavayi,China,mountains
Delavay's Fir,Abies delavayi,Myanmar,mountains
Delavay's Fir,Abies delavayi,Vietnam,mountains
,Abies delavayi subsp. fansipanensis,Vietnam,
Sikkim Fir,Abies densa,Bhutan,mountains
Sikkim Fir,Abies densa,China,mountains
Sikkim Fir,Abies densa,Nepal,mountains
Durango Fir,Abies durangensis,Mexico,
Faber’s Fir,Abies fabri,China,mountains
Fanjingshan fir,Abies fanjingshanensis,China,mountains
Farges' Fir,Abies fargesii,China,mountains; water
Momi Fir,Abies firma,Japan,forest
Michoacán Fir,Abies flinckii,Mexico,
Forrest's Fir,Abies forrestii,China,mountains; forest
Grand Fir,Abies grandis,Canada,mountains
Grand Fir,Abies grandis,United States,mountains
Guatemalan Fir,Abies guatemalensis,El Salvador,mountains; forest
Guatemalan Fir,Abies guatemalensis,Guatemala,mountains; forest
Guatemalan Fir,Abies guatemalensis,Honduras,mountains; forest
Guatemalan Fir,Abies guatemalensis,Mexico,mountains; forest
Guatemalan Fir,Abies guatemalensis,Nicaragua,mountains; forest
Hickel's Fir,Abies hickelii,Mexico,
,Abies hidalgensis,Mexico,forest
Manchurian Fir,Abies holophylla,China,mountains
Manchurian Fir,Abies holophylla,Russia,mountains
Jalisco Fir,Abies jaliscana,Mexico,forest
Taiwan Fir,Abies kawakamii,Taiwan,mountains
Subalpine Fir,Abies lasiocarpa,Canada,mountains
Subalpine Fir,Abies lasiocarpa,United States,mountains
Red Fir,Abies magnifica,United States,mountains
Hinggan Fir,Abies nephrolepis,China,
Hinggan Fir,Abies nephrolepis,Russia,
Spanish Fir,Abies pinsapo,Morocco,mountains
Spanish Fir,Abies pinsapo,Spain,mountains
